tweet_id,text_clean,label_job,label_trade,label_tech,label_hr,label_milSec
2633483,The Russian invasion of Ukraine has made it clear we should not tolerate authoritarian regimes. Now is the time for liberal democracies to stand united against China’s growing threat to democracy and freedom. HTTPURL,,,,1,
1238769,Simply acknowledging #HumanRightsDay today isn’t enough. China is undermining freedoms for #HongKongers + others. Saudi Arabia killed a US journalist w/impunity. Our Border Patrol has let children die in custody. Rights are under threat around the globe. We cannot be silent. HTTPURL,,,,1,
2484184,"China's Great Firewall of censorship and digital authoritarianism is spreading among its neighbors. The U.S. must lead the way on digital trade and a free and open internet, or else China will continue to export policies that endanger human rights and democratic values. HTTPURL",,,,1,
1083154,Freedom of expression and freedom from tyranny in Hong Kong must be preserved. The people of Hong Kong deserve these unalienable rights. I call on @USER to make it absolutely clear that the United States will not tolerate violations of human rights. HTTPURL,,,,1,
1062030,"We have deep respect for the brave efforts of Hong Kong people from every walk of life who have demonstrated their clear desire for freedom, democracy, and the rule of law. The House Foreign Affairs Committee has called upon Beijing to cease encroaching on Hong Kong’s autonomy. HTTPURL",,,,1,
1600525,"Those complicit in snuffing out freedom, democracy, and human rights in Hong Kong must be held accountable. @USER should immediately call a vote on the Hong Kong Accountability Act, which unanimously passed the Senate last week. HTTPURL",,,,1,
2428184,"As a nation that values freedom, the US must remain a leader in defending human rights. Congress must pass the Uyghur Human Rights Protection Act now to expedite the visa process for Uyghur refugees. We must be true to our values as Americans. HTTPURL I commend @USER' announcement of a diplomatic boycott of the 2022 Beijing Olympics. HTTPURL",,,,1,
3063138,"RT @USER Have yet to hear/read a compelling case for why ""China potentially reversed a 2016 Saudi decision to diplomatically freeze out Iran over protests"" somehow signals a post-U.S. Middle East. Also: Possible China involving itself deeper in MidEast is bad for it and good for U.S.?",,,,,
1994484,"China continues to undermine Hong Kong’s autonomy. I joined a @USER resolution condemning the violation of the rights of the #HongKong people and calling on @USER to work with our allies to protect human rights and ensure accountability.
HTTPURL",,,,1,
1557197,"31 years ago, students, workers, citizens stood up for freedom in Tiananmen Square against the repressive Chinese Communist Party As peaceful protestors across America stand up to end injustice, these students' example should remind us of how America can stand up for our ideals",,,,1,
1083343,Time for democratic nations to call out #China's unacceptable violation of human rights in #HongKong that the 1997 “one country two systems” treaty was created to protect. HTTPURL,,,,1,
1207720,"Now that Congress has passed the Hong Kong Human Rights and Democracy Act, Pres Trump should sign it into law. The American people stand w/ the people of Hong Kong, who should be free to peacefully express their democratic rights without being violently repressed.",,,,1,
2444551,"RT @USER Chairs welcome this action to sanction firms that aid in the repressive surveillance of Uyghurs, Tibetans and others. With passage of the Uyghur Forced Labor Prevention Act, the US government is expanding the use of tools to go after those who commit and abet crimes against humanity. HTTPURL",,,,1,
1542727,Three years of President Trump’s failed foreign policy has left the Chinese Communist Party unchecked. President Trump’s weakness enables China to snuff out the people of Hong Kong’s freedoms and for the Chinese Communist Party to spread its influence. HTTPURL,,,,1,
1469210,[3/3] We cannot be silent. I continue to #StandwithHongKong and call on local authorities and #China to release pro-democracy leaders and drop their efforts to curtail civil and religious freedoms.,,,,1,
3072916,Birds of a feather flock together — Xi and Putin meeting is a clear signal that autocrats worldwide are rooting for freedom and democracy to lose in Ukraine. That’s why you can’t say you’re tough on China if you’re weak on Russia and willing to abandon the people of Ukraine. HTTPURL,,,,1,
2993001,"RT @USER In the last two years: :dollar_banknote: Stimulus checks
:money_with_wings: Child tax credits
:chart_decreasing: Record low unemployment
:chart_increasing: 11M new jobs
:pill: Lower Rx prices
:syringe: Insulin capped for millions
:megaphone: Cheaper hearing aids
:factory: Jobs back from China
:Ukraine: Defending democracy
:United_States: Strong leadership Say it with me: #DemocratsDeliver HTTPURL",1,,,,
2496129,"A threat to democracy anywhere in the world, is a threat to democracy here at home. It's not just Russia — it's China and others who are hell-bent on stifling the will of the people. We must stand firm. HTTPURL",,,,1,
1060719,I continue to stand with the #HongKongProtestors who are fighting against authoritarian rule by Beijing. Carrie Lam must withdraw the extradition bill and put an end to the police violence. Trump continues to relinquish America’s moral standing by ignoring Xi’s human rights abuses.,,,,1,
367575,"Faced again with an opportunity to target Russia with significant sanctions, Trump again ""choked."" China is hit with $50 billion in penalties for theft of intellectual property, but no sanctions for Russia’s attempted theft of our democracy. HTTPURL",,,1,,
956846,"Today, I attended @USER and @USER hearing on #TiananmenSquare’s 30th anniversary. We heard from Chinese activists and experts on how China’s repression has evolved and how Congress can support the people of China HTTPURL",,,,1,
2247081,"When China sells products made with forced labor, like solar panels, it hurts American workers. I worked with @USER and @USER to keep these products out of America. I'll keep fighting to protect workers and uphold human rights. HTTPURL 2:17
HTTPURL",1,,,1,
2837752,"The UN has confirmed that China is perpetrating human rights abuses against the Uyghur people. I’m glad we took bipartisan action last year to hold China accountable for these crimes, and I will work with my colleagues to stand up against these abuses.
HTTPURL",,,,1,
1018144,"#LiuXiaobo devoted his life to fighting for human rights and democracy in China. Although sorrow over his death continues to be felt in China and around the world, we will use this anniversary to recommit to this struggle for our shared vision and values. HTTPURL",,,,1,
2511548,Nancy Pelosi has fought for human rights in China for decades. These sycophants couldn’t be found when Donald Trump told the General Secretary of the Chinese Communist Party that building concentration camps in Xinjiang was “exactly the right thing to do” HTTPURL,,,,1,
1670676,"Trump says “I don’t care what anybody says” when intel agencies disclosed Russia is interfering in our election to hurt Biden. Of course he doesn’t. He has solicited foreign help again and again. From Russia, Ukraine and China. He doesn’t care about our democracy. Only himself.",,,,,
